Designator,Mid X,Mid Y,Layer,Rotation
C1,12.7,28.45,Top,180
C2,9.65,28.45,Top,0
C3,28.83,21.34,Top,90
C5,28.96,37.34,Top,180
C6,29.21,28.7,Top,180
C7,25.91,28.7,Top,0
C9,13.08,22.99,Top,180
C10,9.91,22.99,Top,0
IC1,11.3,25.53,Top,180
IC2,27.56,31.12,Top,180
IC3,11.3,30.99,Top,180
IC5,19.43,27.94,Top,90
LED1,9.91,1.8,Top,90
LED2,28.19,1.78,Top,90
LED3,26.29,1.78,Top,90
LED4,8,1.78,Top,90
R1,28.07,11.81,Top,270
R2,8.13,11.81,Top,270
R3,9.78,11.81,Top,270
R15,26.29,11.81,Top,270
R16,16.38,37.72,Top,180
R18,13.21,37.72,Top,180
R19,20.19,37.72,Top,0
R20,23.24,37.72,Top,0
R21,4.95,20.57,Top,270
R22,6.1,20.57,Top,270
R23,7.24,20.57,Top,270
R24,8.38,20.57,Top,270